Section_Name,Score,Section,Horizon,Height,Holcacephalus tenerus,Modocia cf.oweni,Bolaspidella wellsvillensis,Bolaspidella burnetensis,Cedarina cordilleras,Kormagnostus simplex,Cedarina eurycheilos,Modocia cf.centralis,Meteoraspis cf.robusta,Syspacheilus cf.camurus,Genevievella cf.spinosa,Apsotreta orifera,Coosella beltensis,Kinsabia varigata,Coosella granulosa,Coosia connata,Sponge spicule B,Pseudagnostus? nordicus,Norwoodia quadrangularis,Arcuolimbus convexus,Opisthotreta depressa,Tricrepicephalus coria,Tricrepicephalus texanus,Sponge spicule A,Sponge spicule C,Kingstonia pontotocensis,Llanoaspis virginica,Llanoaspis modesta,Metoeraspis metra,Coosella cf.widnerensis,Coosia cf.albertensis,Crepicephalus australis,Llanoaspis undulata,Llanoaspis undulata granulata,Maryvillia cf.ariston,Meteoraspis cf.loisi,Pemphigaspis inexpectans,Crepicephalus perplexus,Llanoaspis peculiaris,Crepicephalus cf.iowensis,Cheilocephalus breviloba,Aphelaspis walcotti,Dictyonina perforata,Aphelaspis spinosa,Raaschella ornata,Cheilocephalus minutus,Geragnostus cf.tumidosus,Aphelaspis constricta,Aphelaspis longifrons,Dunderbergia variagranula,Dytremacephalus laevis,Labiostria platifrons,Labiostria conveximarginata,Pseudagnostus communis,Angulotreta triangularis,Pseudagnostus josephus,Angulotreta triangularis digitalis,Dytremacephalus granulosus,Apsotreta expansus,Labiostria sigmoidalis,Dysoristus lochmanae,Dieracephalus aster
Morgan_Creek,0.552535072,1,16,16,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0,1,1,1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,-1,0,0
Morgan_Creek,0.562834128,1,17,17,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,-1,0,-1,0,0,0,1,0,0,0,1,-1,-1,0,1,1,0,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,-1,0,0
Morgan_Creek,0.578239443,1,18,18,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0,0,0,1,-1,-1,1,0,0,1,0,1,0,1,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,-1,0,0
Morgan_Creek,0.62927229,1,19,19,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,1,1,0,1,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,-1,0,0
Morgan_Creek,0.637237773,1,20,20,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,1,1,1,1,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,-1,0,0
Morgan_Creek,0.72436394,1,21,21,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,1,1,0,0,-1,-1,0,0,0,-1,-1,1,0,1,-1,-1,-1,0,-1,0,0
Morgan_Creek,0.745989564,1,22,22,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,1,0,0,0,-1,-1,1,1,1,-1,-1,1,0,1,-1,-1,-1,0,-1,0,0
Morgan_Creek,0.903010136,1,23,23,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,1,0,0,0,-1,-1,0,0,1,-1,-1,1,1,1,-1,-1,-1,0,-1,0,0
Morgan_Creek,0.969079406,1,24,24,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,-1,-1,0,0,1,-1,-1,1,0,1,-1,-1,-1,0,-1,0,0
Morgan_Creek,0.982717324,1,25,25,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,1,-1,1,0
